1,/static/pet_photos/ghost01.gif,When I was a wee pup.
1,/static/pet_photos/ghost02.jpg,On the iron throne with my badass BFF.
9,/static/pet_photos/gingerale01.jpg,With my mom.
9,/static/pet_photos/gingerale02.jpg,Chilling on my favorite throw
9,/static/pet_photos/gingerale03.jpg,I love Santa.
6,/static/pet_photos/hobbes01.jpg,I like to hold hands while napping.
6,/static/pet_photos/hobbes02.jpg,
6,/static/pet_photos/hobbes03.jpg,Rub my cheeks.=)
6,/static/pet_photos/hobbes04.jpg,I love belly rubs.
11,/static/pet_photos/junior01.jpg,
12,/static/pet_photos/rusty01.jpg,Chillin'
12,/static/pet_photos/rusty02.jpg,I love to climb.
4,/static/pet_photos/lady01.jpg,With my human BFF.
13,/static/pet_photos/marley01.jpg,I love Christmas time treats.
13,/static/pet_photos/marley02.jpg,Hanging with my mom.
13,/static/pet_photos/marley03.jpg,Hanging with my mom.
10,/static/pet_photos/peenutbutter01.jpg,
10,/static/pet_photos/peenutbutter02.jpg,I love walks.
10,/static/pet_photos/peenutbutter03.jpg,
2,/static/pet_photos/summer01.jpg,I watch over my human BFF every night.
2,/static/pet_photos/summer02.jpg,OMG! I am adorable as a pup.
5,/static/pet_photos/greywind01.jpg,We are fierce!
5,/static/pet_photos/greywind02.jpg,Me as a pup.
